"Facility","Permit Number","Permit Type","Status","Permittee","Location","City","County","Issuance","Permit Id","Facility Id","Latitude","Longitude","Zip","Application To Nco","Activity","Site Id"
"Barker Brothers Waste, Inc.","SWP660001453","PROCESSING","Active","Barker Brothers Waste, Inc.","1341 N. Highway 51 South","Union City","Obion","SEP-15-2011","1964","SWP660001453","36.37735","-89.11721","38261","AUG-19-2011","Barker Brothers Recycle Center is processing recyclables (no solid waste will be processed).","50837"
"Morristown City Landfill","SNL320000030","CLASS I","Inactive","City of Morristown","Morristown","Morristown","Hamblen","-","1881","SNL320000030","36.149868","-83.293969","-","-","LANDFILL","53951"
"Martin Tire","SWP790001452","PROCESSING","Withdrawn","Martin Tire Operations, LLC","382 Klinke Rd","-","Shelby","-","1901","SWP790001452","35.225","-90.045","38127","JUL-11-2011","Processing waste tires by chipping and then shipping 1,800 tons by barge to end user.","11135"
"Hamblen County Landfill, LLC","SNL320000283","CLASS I","Pending","Environmental Waste Services, LLC","4901 Enka Highway or SR-160 or Fish Hatchery Road","Morristown","Hamblen","-","1908","SNL320000283","36.150264","-83.209742","37813","-","-","6054"
"Terra Renewal-Reviere Farm","LND490000051","LAND APPLICATION","Active","Terra Renewal Services, Inc.","SR-19 at intersection of Becton William Road","Ripley","Lauderdale","MAY-24-2011","1801","LND490000051","-","-","-","FEB-28-2011","Land application on Rob Reviere Farm by Terra Renewal","65733"
"Terra Renewal-German Property (Field # WG-4)","LND350000052","LAND APPLICATION","Active","Terra Renewal Services, Inc.","Intersection SR-179 and Mt. Tabor Road","Whiteville","Hardeman","MAY-24-2011","1802","LND350000052","-","-","-","FEB-28-2011","Land application on Willie German farm by Terra Renewal","66178"
"Terra Renewal-German Property (Field # WG-5)","LND350000053","LAND APPLICATION","Active","Terra Renewal Services, Inc.","Harry Fergerson Road and Mt. Tabor Road","Whiteville","Hardeman","MAY-24-2011","1803","LND350000053","-","-","-","FEB-28-2011","Land application on Willie German farm by Terra Renewal","66179"
"Estes Express Lines-Nashville","TRF190001448","TRANSFER","Termination","WM Healthcare Solutions, Inc.","317 Fesslers Lane","Nashville","Davidson","JUN-21-2011","1842","TRF190001448","36.045556","-86.743889","37210","APR-05-2011","Medical waste transfer station","9499"
"Jones Cove Road Convenience Center","CCC780000550","CONVENIENCE","Active","Sevier County Government","4095 Jones Cove Road","Sevierville","Sevier","JUN-09-2011","1843","CCC780000550","35.840617","-83.334278","37876","JUN-06-2011","Convenience Center","66250"
"Medical Waste Resources, Inc.","TRF950001449","TRANSFER","Termination","Medical Waste Resources, Inc.","216B Hartmann Drive","Lebanon","Wilson","JUN-28-2011","1841","TRF950001449","36.223166","-86.320787","37087","APR-12-2011","Medical waste transfer station
Facility was clean closed January 26, 2016. NFO ","66320"
"Liquid Environmental Solutions","SWP190001450","PROCESSING","Active","Liquid Environmental Solutions of Tennessee, LLC","501 Cave Rd.","Nashville","Davidson","JUL-01-2011","1867","SWP190001450","36.162222","-86.721111","37210","-","Processing and recycling grease trap waste to be reused as components of blended industrial grade fuels.","65673"
"Wisdom Properties, LLC Transfer Station","TRF330001461","TRANSFER","Active","Wisdom Properties, LLC","1369 Wisdom Street","Chattanooga","Hamilton","MAR-14-2012","2141","TRF330001461","35.079362","-85.258918","37416","FEB-28-2012","C&D waste collected and transported to permitted landfill","70301"
"Terra Renewal - Stonebrook Farm - Taxpayer Road","LND490000065","LAND APPLICATION","Active","Terra Renewal Services","212 Taxpayer Road, Ripley, Tennessee","Ripley","Lauderdale","SEP-19-2012","2353","LND490000065","-","-","-","SEP-04-2012","Land application of food processing residuals through subsurface injection. ","73121"
"First Quality Drive Convenience Center","CCC010000558","CONVENIENCE","Inactive","Anderson County Government","229 First Quality Drive","Andersonville","Anderson","AUG-14-2012","2301","CCC010000558","-","-","-","AUG-07-2012","Convenience Center collects residential solid waste and recyclables.","72733"
"Dynamic Recycling LLC","SWP820001465","PROCESSING","Active","Dynamic Recycling LLC","220 North Industrial Park Drive","Bristol","Sullivan","AUG-24-2012","2302","SWP820001465","36.562086","-82.170804","37620","AUG-17-2012","Recycling ethanol from various solid waste streams that produces fuel grade ethanol.","71833"
"Terra Renewal - Duggin Farm","LND750000057","LAND APPLICATION","Active","Terra Renewal Services, Inc.","9668 Sims Court","Christiana","Rutherford","SEP-12-2012","2321","LND750000057","-","-","37037","SEP-05-2012","-","73044"
"Terra Renewal - Hutchison Farm ","LND170000062","LAND APPLICATION","Active","Terra Renewal Services","420 Hutchison Road","Gadsden","Crockett","SEP-19-2012","2341","LND170000062","-","-","38337","SEP-04-2012","Land application of food processing residuals through subsurface injection.","73118"
"Terra Renewal - Laman Farm - Egg Hill Road","LND170000058","LAND APPLICATION","Active","Terra Renewal Services","Egg Hill Road","Alamo","Crockett","SEP-19-2012","2343","LND170000058","-","-","38001","SEP-04-2012","Land application of food processing residuals.","73112"
"Terra Renewal - Laman Farm - County Farm Road","LND170000059","LAND APPLICATION","Active","Terra Renewal Services","County Farm Road and Nance Road","Alamo","Crockett","SEP-19-2012","2344","LND170000059","-","-","38001","SEP-04-2012","Land application of food processing residuals.","73113"
"Terra Renewal - Laman Farm - Emerson Road","LND170000060","LAND APPLICATION","Active","Terra Renewal Services","Emerson Road","Alamo","Crockett","SEP-19-2012","2345","LND170000060","-","-","38001","SEP-04-2012","Land application of food processing residuals.","73114"
"Terra Renewal - Laman Farm -Emma Clark Road","LND170000061","LAND APPLICATION","Active","Terra Renewal Services","Emma Clark Road","Alamo","Crockett","SEP-19-2012","2349","LND170000061","-","-","38001","SEP-04-2012","Land application of food processing residuals.","73116"
"Terra Renewal - Roberts Farm","LND490000063","LAND APPLICATION","Active","Terra Renewal Services","1516 Unionville Road, Halls, Tennessee","Halls","Lauderdale","SEP-19-2012","2351","LND490000063","-","-","38040","SEP-04-2012","Land application of food processing residuals through subsurface injection. ","73119"
"Terra Renewal - Stonebrook Farm - Willie Parish Road","LND490000064","LAND APPLICATION","Active","Terra Renewal Services","Willie Parish Road and Queens Crossing Road, Ripley, Tennessee","Ripley","Lauderdale","SEP-19-2012","2352","LND490000064","-","-","-","SEP-04-2012","Land application of food processing residuals through subsurface injection. ","73120"
"Waste Connections Apex Street Transfer Station","TRF190001464","TRANSFER","Active","Waste Connections of Tennessee, Inc.","1000 Apex Street","Nashville","Davidson","JUL-09-2012","2281","TRF190001464","36.189476","-86.756137","37206","JUN-26-2012","Non-hazardous waste transfer station","72184"
"Waste Services Cleveland Processing Facility","SWP060001463","PROCESSING","Termination","Waste Services of Tennessee, LLC","2158 Westland Drive","Cleveland","Bradley","JUN-21-2012","2241","SWP060001463","35.14016","-84.904404","37311","APR-27-2012","Sorting household waste and collecting recyclables.","71865"
"Joyce Lane Convenience Center","CCC260000557","CONVENIENCE","Active","Franklin County Government","487 JOYCE LANE","Winchester","Franklin","JUN-04-2012","2221","CCC260000557","35.168222","-86.136944","37398","-","Convenience center collects household solid waste.","39416"
"Little Milligan Convenience Center","CCC100000556","CONVENIENCE","Active","Carter County Government","3682 Highway 321","Butler","Carter","MAY-24-2012","2181","CCC100000556","36.319504","-82.03931","-","APR-23-2012","Convenience Center to collect household waste.","71599"
"Marshall County Tire Sotrage Facility","TSF590001462","TIRE STORAGE","Termination","Marshall County Government","230 College Street","Lewisburg","Marshall","JUN-01-2012","2201","TSF590001462","-","-","37091","MAY-25-2012","Collect and load waste tires on trailers","71653"
"Harrogate Convenience Center","CCC130000555","CONVENIENCE","Active","Claiborne County Government","147 Industrial Park Drive","Harrogate","Claiborne","MAY-02-2012","2161","CCC130000555","36.579269","-83.626428","-","APR-09-2012","Municipal solid waste coolection and recycling","71253"
"ProVira, LLC Transfer Station","TRF190001467","TRANSFER","Active","ProVira, LLC","1420 Donelson Pike, Suite A-1","Nashville","Davidson","FEB-08-2013","2421","TRF190001467","36.095794","-86.677689","37217","JAN-28-2013","Transfer station that receives, stores, and ships pharmaceutical wastes.","75052"
"Memphis Light Gas and Water Composting","SWP790001217","COMPOSTING","Inactive","Memphis Light, Gas and Water","2285 Hennington Road","-","Shelby","FEB-14-1996","2422","SWP790001217","35.064379","-90.139328","-","-","Composting Mulching/Tree Trimming Wood Yard Waste","75055"
"Bio-Waste Solutions, LLC Transfer Station","TRF790001466","TRANSFER","Termination","Bio-Waste Solutions, LLC","801 East Georgia Street, Memphis, TN","Memphis","Shelby","DEC-17-2012","2381","TRF790001466","35.128812","-90.033606","-","OCT-11-2012","Medical waste transfer station","74398"
"City of Springfield Convenience Center","CCC740000559","CONVENIENCE","Active","City of Springfield","2809 Clinard Drive","Springfield","Robertson","DEC-19-2012","2401","CCC740000559","36.483503","-86.857181","37172","DEC-17-2012","-","74485"
"TVA Gallatin Fossil Plant","IDL830000219","CLASS II","Active","Tennessee Valley Authority","1499 Steam Plant Road","Gallatin","Sumner","JUN-30-2014","2361","IDL830000219","36.3155","-86.3997","37066","OCT-18-2012","Disposal of coal combustion residuals (CCRs) generated as a result of power generation operations at the Gallatin Fossil Plant.","4972"
"Packaging Corporation of America Ash Landfill","IDL360000221","CLASS II","Active","Packaging Corporation of America","Campbell Old Mill Road to Private Road","Counce","Hardin","NOV-23-2015","2821","IDL360000221","35.020694","-88.297583","38326","NOV-04-2013","-","94494"
"Stericycle, Inc. Transfer Station - Nashville","TRF190001484","TRANSFER","Active","Stericycle, Inc.","120 Tredco Drive","Nashville","Davidson","MAY-06-2014","2928","TRF190001484","36.132222","-86.743056","37210","-","Collection and storage of medical waste then transferred for processing.","31273"
"Selk Sanitation Transfer Facility","TRF180001498","TRANSFER","Active","Chris Selk","8438 US HWY 127 South","Crossville","Cumberland","JUN-12-2015","3454","TRF180001498","35.84448","-85.01912","38555","FEB-12-2015","-","102943"
"Denali Water Solutions, LLC","LND880000078","LAND APPLICATION","Termination","Denali Water Solutions, LLC","GoForth Road","Spencer","Van Buren","OCT-14-2015","4159","LND880000078","35.680083","-85.446681","-","JUN-18-2015","-","107076"
"Titan Waste Services LLC","SWP190001493","PROCESSING","Pending","Titan Waste Services, LLC","1411 S. Dickerson Pike","Goodlettsville","Davidson","-","3309","SWP190001493","36.285","-86.748611","37072","DEC-01-2014","Non hazardous and hydrocarbon impacted absorbents, solids, liquids , PPE","12036"
"Hoffman Composting Facility","CMP900000003","COMPOSTING","Active","Hugo J. Hoffman","303 Woodlyn Road","Johnson City","Washington","FEB-19-2015","3467","CMP900000003","36.346209","-82.320069","37601","JUL-07-2014","-","103120"
"Full Circle Disposal Recycling Facility","SWP190001479","PROCESSING","Active","Full Circle Disposal, LLC","5800 Centennial Boulevard","Nashville","Davidson","MAR-14-2014","2881","SWP190001479","36.16837","-86.8582","37209","FEB-07-2014","Processing and recycling of construction and demolition waste.","97984"
"United Waste Haulers Processing Facility","SWP600001485","PROCESSING","Active","United Waste Haulers of Tennessee, LLC","8000 Mt. Joy Road","Mount Pleasant","Maury","JUN-10-2014","2948","SWP600001485","35.520833","-87.2375","38474","APR-21-2014","Processing and recycling of construction and demolition waste.","7170"
"Paris Landfill Transfer Station","TRF400001492","TRANSFER","Active","City of Paris","1140 Jones Bend Road","Paris","Henry","FEB-19-2015","3466","TRF400001492","36.318715","-88.356479","38242","JAN-26-2015","-","8834"
"January Environmental Services, Inc.","SWP190001501","PROCESSING","Active","January Environmental Services","91 Van Buren Street","Nashville","Davidson","JUL-30-2015","3559","SWP190001501","36.181438","-86.78561","37208","APR-08-2015","-","10190"
"Aftermath Services LLC - TN","TRF790001504","TRANSFER","Active","Aftermath Services LLC","3086 Summer Avenue","Memphis","Shelby","JUL-23-2015","3918","TRF790001504","35.149657","-89.958164","38122","JUL-22-2015","-","104885"
"The Compost Company, LLC","CMP110000004","COMPOSTING","Active","Compost Company, LLC","3643 Highway 12","Ashland City","Cheatham","JAN-19-2016","3830","CMP110000004","36.369","-87.181","37015","JUN-25-2015","-","67716"
"Lighting Resources, LLC","SWP900001510","PROCESSING","Active","Lighting Resources, LLC","128 L. P. Auer Rd","Johnson City","Washington","SEP-29-2015","4160","SWP900001510","36.301275","-82.395519","37604","SEP-02-2015","-","4396"
"Pickett County Transfer Station","TRF690001508","TRANSFER","Active","Pickett County","3065 Gibb Moles Road","Byrdstown","Pickett","OCT-21-2015","4165","TRF690001508","36.56","-85.118","38549","AUG-03-2015","-","10412"
"Enterprise Oil Company, Inc.","TRF470001511","TRANSFER","Active","Enterprise Oil Company, Inc.","5201 North Middlebrook Pike","Knoxville","Knox","FEB-18-2016","4192","TRF470001511","35.958871","-84.00054","37921","OCT-23-2015","-","7621"
"Terra Renewal - JT4","LND660000079","LAND APPLICATION","Active","Terra Renewal","3 Miles East of Union City, TN near Hwy 431","Union City","Obion","OCT-23-2015","4211","LND660000079","36.392722","-89.015583","38261","SEP-10-2015","-","107319"
"Tinsley Asphalt Products Processing Facility","SWP260001483","PROCESSING","Active","Tinsley Asphalt Products, LLC","303 Ake  Street","Estill Springs","Franklin","APR-23-2014","2929","SWP260001483","35.28007","-86.14128","-","APR-10-2014","-","72074"
"Tennessee Tire Recycling Facility","SWP280001481","PROCESSING","Termination","Tennessee Tire Recycling, LLC","485 Bennett Drive","Pulaski","Giles","APR-23-2014","2930","SWP280001481","35.211389","-87.05","38478","FEB-25-2014","Permit Terminated effective July 1, 2014.","9674"
"BFI Shelby Drive Landfill (Closed)","SNL790000118","CLASS I","Inactive","BFI, INC","4085 Shelby Drive
Register of Deeds has it listed as 0 Shelby Drive.","Memphis","Shelby","JAN-01-1975","2991","SNL790000118","35.020482","-89.927376","38118","-","CLOSED LANDFILL","66837"
"Terra Renewal - King Farm (Site JK-2)","LND380000075","LAND APPLICATION","Active","Terra Renewal Services, Inc.","Highway 54 North (1/4 mile south of Ross Road)","Brownsville","Haywood","JUN-10-2014","3137","LND380000075","35.646944","-89.222389","-","MAY-19-2014","Land application of food processing residuals for agronomic benefits.","99167"
"Bi-County Highway Drive Transfer Station","TRF630001495","TRANSFER","Active","Bi-County Solid Waste Management","1230 Highway Drive","Clarksville","Montgomery","MAY-11-2015","3392","TRF630001495","36.5155","-87.336667","-","JAN-05-2015","-","51559"
"Terra Renewal - King Farm (Site JK-1A)","LND380000071","LAND APPLICATION","Active","Terra Renewal Services, Inc.","Sturdivant Road (near intersection of Hollinshead Road)","Brownsville","Haywood","JUN-10-2014","3129","LND380000071","35.695833","-89.199167","-","MAY-19-2014","Land application of food processing residuals for agronomic benefits.","99162"
"Terra Renewal - King Farm (Site JK-1B)","LND380000072","LAND APPLICATION","Active","Terra Renewal Services, Inc.","Nick Thornton Road (near intersection of Tabernacle Road)","Brownsville","Haywood","JUN-10-2014","3130","LND380000072","35.671944","-89.196944","-","MAY-19-2014","Land application of food processing residuals for agronomic benefits.","99163"
